Episode	Reward
1	-87.86819029976976
2	-72.7344360659104
3	-224.52149311189737
4	-72.6504619506848
5	-260.1849906505873
6	-127.9154225387404
7	-131.8661485402707
8	-72.47929366929621
9	-94.84147444987352
10	-258.33062561607426
11	-72.29617262681283
12	-54.31884827472215
13	8.340498561905903
14	-83.0381443401541
15	-77.88778451883154
16	-103.5824494551455
17	-64.0447629041195
18	-69.76628724446164
19	-67.98216812780409
20	-186.49917573531366
21	-266.2562875147362
22	-77.7807267736283
23	-69.71457366379977
24	-288.2890974992977
25	-136.81067822053228
26	-3.3585259834711962
27	-57.10732454166832
28	-72.50175509159368
29	-57.72505233678646
30	-79.70263455746739
31	-68.13522714537595
32	-122.75557049238854
33	-118.25305989578773
34	-50.44491893694943
35	-218.65070773684323
36	-52.526166279687445
37	-226.067355364362
38	-296.6431891654981
39	-171.1743400931137
40	-67.05902459080718
41	-81.89974210928634
42	-56.917758269301245
43	-146.68002039964313
44	-96.31961201222491
45	-245.3423718815954
46	-73.53732058234475
47	-101.04990751260972
48	-81.80925494423224
49	-186.35104489842035
50	-91.08954058861136
51	-256.72506884779057
52	-61.33568758844653
53	-145.44913537898776
54	-320.18959992659734
55	-57.3463754801261
56	-2.8443949484127558
57	-52.27445173629587
58	-22.59855814935439
59	-82.34816000068416
60	-3.119431362318835
61	-232.98672771663442
62	-209.23527659212434
63	-205.54272897226642
64	-152.80006602202786
65	-187.06809946119466
66	-500.18682721377957
67	-64.22230209372833
68	-71.82688133009111
69	-74.32882797964284
70	-26.11469771801235
71	-42.85959121513308
72	-86.56776690722282
73	-152.97522941902352
74	-83.9143483601083
75	-285.6913526628401
76	-70.90875453052577
77	-81.67231765443165
78	16.676648308236324
79	-82.71745972212791
80	9.571039022294514
81	-73.06841581733616
82	-14.686754508145896
83	-142.27393606839547
84	-35.34769583506203
85	-79.00173111768643
86	-86.06167452752587
87	-136.5819789679341
88	-121.93446031308432
89	-93.79254488083382
90	-78.33376864124646
91	-54.96286417203429
92	-46.38884387668955
93	-60.965594766551376
94	-66.52950511161396
95	-78.42795537694731
96	-45.1409981461362
97	-38.80825726975059
98	-69.74558386056708
99	-58.65537756288538
100	-31.407733704898106
101	-39.319502028258384
102	-61.59815084424996
103	-71.8112522039142
104	-50.074052019245826
105	-54.82102443257618
106	-1.7509017431574279
107	-33.94833064767123
108	-57.21397755634992
109	-53.701472582409416
110	-34.144562234675746
111	-3.3422788175340514
112	-37.438909761507844
113	-72.70633571083263
114	-48.107482143609104
115	-27.93245395953744
116	-15.557133646219427
117	-47.79991346647939
118	-48.122263351212865
119	-15.008504582623459
120	18.84272191698642
121	-111.22571407398391
122	-30.47324604533887
123	29.882687235578288
124	-298.59187841598634
125	-208.81384296409993
126	29.51398870124845
127	-24.326914871891276
128	39.47659844303408
129	-23.137862617720643
130	20.34108504302003
131	27.550132280876653
132	54.7363539030336
133	-68.22379213077119
134	9.695707261569112
135	13.202649025965812
136	-53.0537835644747
137	-51.01398523464139
138	-35.56664739751356
139	-36.92524456761764
140	-23.239687787590185
141	-58.1081206319471
142	-291.2884775386018
143	-319.5806433976585
144	-34.583073922094826
145	-17.20802213999268
146	-27.56658968673314
147	-4.247934196741298
148	4.25174371054014
149	-286.1934699199572
150	-107.18725047887027
151	-465.58022714356156
152	-232.9324239317994
153	7.394677028867889
154	-465.75955069666475
155	-113.32616358097103
156	-38.48542179934003
157	-284.23487119978216
158	-488.4445490033022
159	-31.603699124200972
160	-13.291061987489883
161	-525.4285790248775
162	-11.834236603060091
163	-565.7705416526321
164	-57.34670605095735
165	-26.04007566588251
166	-27.365450366643856
167	-53.24144425271754
168	-248.07922841238246
169	-171.6813836299104
170	-565.7055469159352
171	-51.95401974702014
172	-494.3872763497865
173	-548.3795168042084
174	-496.5907828014623
175	-51.27972816001409
176	22.04887520515824
177	-15.069868144073808
178	-406.5632951487935
179	-350.53168767962546
180	-431.47946079939464
181	-38.64582273517786
182	-181.98100730962807
183	-41.48950933753268
184	-449.8091385307379
185	-2.7065068750667933
186	-41.12191665915645
187	-431.7847306376998
188	-34.88502572547918
189	-129.01116364526132
190	-172.05679910137866
191	-61.98508297027704
192	-192.6395008378115
193	-4.800704680292782
194	-43.584506292446
195	-25.03270360636428
196	-255.56700481048597
197	-33.70620342495151
198	-16.831515057526474
199	10.152227051719194
200	132.75835712545256
201	-22.633764014681972
202	-46.175543297395365
203	-44.00371911942467
204	-17.58896367333037
205	-40.78906190509299
206	-51.76207022826307
207	-1.6822013329915961
208	-42.50256680526543
209	-33.02018912310602
210	-36.92472334138648
211	133.86082013711967
212	-11.286571115135382
213	-47.19538878304431
214	-63.54821340792648
215	41.65551737404479
216	-47.258448190979465
217	-8.339837808045445
218	-32.94573268257148
219	-46.975610504775524
220	-20.682629405128136
221	-29.901012549323156
222	-28.83212596994749
223	10.650001767323275
224	-31.78724370548144
225	-21.228960848508876
226	-21.222851103416218
227	-16.873165006452428
228	-4.668952423949032
229	18.40434268255326
230	-31.66862876476543
231	6.137844623105921
232	-61.38958147041903
233	-52.015625940259696
234	3.0722300407600502
235	-7.931329604493656
236	-18.880084190513458
237	7.936504400364985
238	-6.855484484215442
239	-103.24592860531001
240	-20.22649382742344
241	-141.36741298441893
242	42.57629005407219
243	10.689442966407029
244	-92.4149831147269
245	36.43682522552018
246	44.242264724305116
247	17.122264929985313
248	-17.711243292572423
249	16.16485863876727
250	26.07508583848373
251	22.307427830693683
252	-4.462092121017397
253	1.809138254354585
254	-72.01680655195823
255	-27.575601522634113
256	-6.01842637218507
257	-42.31198812818173
258	-99.32362890026576
259	-28.95958875432226
260	-133.64579980214953
261	-17.79516822962349
262	-32.08786849082154
263	-148.04604338201858
264	-63.244118976463746
265	-41.32843306350205
266	-8.627593298561655
267	-36.636865655941754
268	-35.45183496454247
269	-27.432236628245523
270	-28.840586083631678
271	16.99736642068266
272	-3.537106938196854
273	-14.520129261268087
274	-0.35594601759090033
275	-19.333597417706155
276	-21.061809548230947
277	71.32582038826533
278	-0.15541782209581356
279	25.543540658351606
280	60.93304078764058
281	-9.0946603976272
282	-22.69787726122806
283	-9.492806976486971
284	62.691893856961556
285	-11.791516891697961
286	5.281789234549816
287	74.58422222603367
288	-70.44718097832873
289	-11.226022525139863
290	69.02899774747155
291	72.95843220967143
292	-1.699461249480105
293	90.63241504072505
294	-1.4202938246791006
295	-31.39674247752048
296	6.655402522807913
297	68.76013739812953
298	243.14385375110908
299	101.73789844624102
300	78.96613318421228
301	-6.437340056173206
302	104.68505054073893
303	47.003839620299296
304	-6.465498173262349
305	48.08188308927779
306	4.202851759976088
307	10.146005959511406
308	61.41309445987222
309	21.68836667987584
310	6.889688812061622
311	23.13726119093834
312	-69.78117872902686
313	-74.75566416575786
314	-22.838715468211376
315	-16.928799464811753
316	-15.559561480642579
317	-1.6593521522676127
318	12.658621209828246
319	-30.456307727298455
320	-164.6030982407846
321	5.660787715257249
322	6.050041388833979
323	3.910903510996723
324	-4.594500642447595
325	-8.487527346969681
326	32.70722238784046
327	61.8520056599135
328	10.203249563041686
329	-13.395105601280086
330	-41.31198939487898
331	-21.097970391801372
332	-1.1118183900900855
333	-8.871480027351277
334	-217.19332449050836
335	8.269792093217713
336	74.8210137330888
337	27.714909955171592
338	9.141221757021883
339	14.835809204771914
340	-3.2802737237858945
341	77.74805401500409
342	70.54835737041094
343	99.65389913252812
344	12.822126626726941
345	88.65410593353016
346	174.43619927841206
347	-84.38420657073829
348	144.26037846723378
349	138.41395541688658
350	19.408771969596145
351	106.17838354921957
352	129.64124943161127
353	-56.96182206625525
354	-54.39754780818631
355	128.0284672514795
356	16.91133757156717
357	-23.123833272238286
358	99.14731678232091
359	-49.02208611951046
360	-320.53320182811854
361	-217.2367814235407
362	128.1006579009781
363	181.2597062061177
364	17.258538825808913
365	2.8023228173461945
366	215.94724429235117
367	-16.350378679690188
368	-19.723094474860545
369	203.13120206346872
370	-11.666149724313174
371	6.589371449770923
372	-14.486455051688734
373	-17.294811246508377
374	146.434647427844
375	-17.142677533511588
376	-49.84928610055411
377	62.09624323338829
378	54.20758964929155
379	67.16757083803898
380	50.59004756058323
381	11.25426560583132
382	22.50148684838521
383	26.903658083372687
384	56.08632202612081
385	249.5338697654263
386	-556.4823875338666
387	14.839322917040246
388	67.60681926447148
389	81.29531725351669
390	233.85797518705306
391	73.85119160718435
392	170.87434667567166
393	24.858116628005835
394	71.94986058486599
395	7.453749150008259
396	60.104962877047164
397	271.72674107732996
398	62.13513777855994
399	16.009846599995505
400	172.40230944670373
401	25.634605998815537
402	12.759187756146739
403	14.085476069655892
404	10.334503778349932
405	178.33841318660265
406	69.40285643939335
407	91.43445474155935
408	280.22952642435916
409	156.2647874386031
410	71.41807011143118
411	5.518378816856458
412	49.88697007976504
413	245.46547478405256
414	192.13703126562194
415	206.61495176676635
416	13.670127299702111
417	10.749227671197042
418	26.223456176692025
419	269.8781573553019
420	53.067616297495746
421	201.42240593805383
422	21.752196820130827
423	15.840454204436579
424	282.5686278483127
425	24.095928388456038
426	7.218897447790176
427	11.447274267182067
428	7.653953447218633
429	14.238898450222264
430	6.518790163158079
431	8.06246777927084
432	6.98154581084959
433	12.184103360644349
434	198.03809193141907
435	199.9967989475617
436	228.29294224122418
437	187.94361612459917
438	166.66589992270508
439	52.994745555051
440	207.22560313004246
441	252.7375888030177
442	223.62658418089592
443	189.70943270223478
444	252.11258854420493
445	207.8758979429743
446	219.4061579053008
447	209.42100621401428
448	248.11181570941005
449	246.08302109986636
450	265.48704960392627
451	254.26121718606282
452	230.3322537524109
453	239.13336013064145
454	220.33336456533203
455	239.3689232903625
456	213.98070688893327
457	205.50314524099394
458	191.76316429803762
459	199.73979876346334
460	212.3665726862081
461	-151.60735538679427
462	206.38515288112558
463	-98.9694409234178
464	232.29065013520693
465	199.76409834636132
466	243.3518537639765
467	255.0554625115621
468	217.42036847295495
469	213.957956082335
470	220.17676711747976
471	265.7808047260934
472	251.48313879444444
473	281.6006907059708
474	233.04525101714907
475	234.90087313605872
476	-27.08878952227657
477	188.15298712269941
478	257.45444141098005
479	223.23955293709616
480	197.30494126880265
481	203.75195094370645
482	222.9035034308799
483	219.83936665187832
484	227.13042059643
485	89.04591178060129
486	216.68388627193463
487	218.3611700986198
488	-190.1739098350136
489	208.08514335830913
490	211.74653460334116
491	207.6698413319894
492	-34.92693218360381
493	211.6982502358867
494	227.2501517659744
495	198.24417632281006
496	194.6803076225376
497	242.4437784947846
498	238.69254748149254
499	243.7836161565461
500	227.57641253000867
501	14.00259921095359
502	275.1311024999285
503	289.88160221578664
504	269.21421997835387
505	263.7936019788878
506	32.499626586393276
507	249.20532652954228
508	241.0850870415566
509	254.1699157032666
510	251.76228140226337
511	17.37345142395445
512	244.3410076376213
513	253.01282961356827
514	242.55109993010763
515	247.39574730349085
516	243.59124117688665
517	253.91131648568367
518	235.26597714579313
519	244.00992150439566
520	251.96538060009064
