Episode	Reward
1	-87.86819029976976
2	-80.30131318284009
3	-128.37470649252586
4	-114.44364535706559
5	-143.59191441576993
6	-140.97916576959832
7	-142.036464421354
8	-117.90979224919442
9	-114.62398267971192
10	-120.20121340372862
11	-117.9513513505025
12	-113.69874403797284
13	-111.43393940642687
14	-108.08377998788617
15	-119.3211437666438
16	-115.39362599866733
17	-112.87185974182486
18	-118.70883602371822
19	-119.95069537363045
20	-111.0789685199074
21	-102.92617490955892
22	-100.79862982719129
23	-100.11799982840219
24	-102.39755520730876
25	-103.49518224593372
26	-107.40876050348491
27	-114.72509155055066
28	-113.33110111426936
29	-112.19958304615217
30	-106.85392424437369
31	-107.87664769839729
32	-106.85339237075402
33	-108.50750094084898
34	-108.03806113726007
35	-108.7029306448282
36	-107.46022804206169
37	-108.6987789621592
38	-104.71585221020544
39	-106.34552392223353
40	-107.20107731900575
41	-107.77770232106164
42	-108.53076882189039
43	-108.00879686137601
44	-105.22641942549004
45	-107.82829383235266
46	-107.63221272417593
47	-106.76528267412702
48	-108.96469114737518
49	-109.26804208524209
50	-108.89764628793638
51	-109.18371836693834
52	-108.94587359754966
53	-111.40173716797662
54	-110.4951211323435
55	-109.60920082379563
56	-108.069536455107
57	-108.87620994611419
58	-109.62149142317308
59	-108.70371992125133
60	-109.19836232197859
61	-110.44770477057466
62	-107.61850822246348
63	-104.82561719952588
64	-106.31311767976784
65	-108.62441769035496
66	-109.03432469597156
67	-110.5435160194921
68	-111.7079355190506
69	-112.12227244102951
70	-111.5399484085642
71	-112.09633490341112
72	-113.23998803492356
73	-113.6437949145303
74	-114.55210808826554
75	-114.82828805119648
76	-114.99325062841794
77	-115.12255551758675
78	-113.833681919457
79	-113.31594345273407
80	-114.31339006969411
81	-115.40527434097032
82	-115.57798984618539
83	-115.13238323014423
84	-114.86907097459545
85	-114.91504465761307
86	-117.26058950044124
87	-118.3097208642795
88	-118.45333816140779
89	-118.26734479612429
90	-118.08257418691407
91	-117.82413330073138
92	-117.7027825262497
93	-117.41729709092692
94	-117.32054689275661
95	-117.14400647444442
96	-116.64727722645527
97	-116.25738235951034
98	-115.88110497758275
99	-115.53254997037655
100	-115.13633874321266
101	-115.23699151010297
102	-115.29298657380126
103	-114.03248018972334
104	-114.28764931452594
105	-112.50223827114294
106	-111.92153462318852
107	-111.4442873321595
108	-112.87047269612164
109	-112.9888626859875
110	-112.18334994847216
111	-111.91145875566377
112	-111.9105389929351
113	-111.66587313458325
114	-111.88705144332991
115	-109.96520195832528
116	-110.22379506617227
117	-110.40496034192952
118	-109.12537606209224
119	-108.54839114372388
120	-109.7419921652374
121	-110.97615001108379
122	-111.35163772081685
123	-111.24710765998323
124	-110.61228686292483
125	-110.26622679094277
126	-108.97645674512107
127	-106.66944334168478
128	-106.74796605925226
129	-106.56892624005457
130	-107.8635791452929
131	-107.37022089202733
132	-107.22482138237947
133	-106.30159380025543
134	-106.07432762975209
135	-105.66383809037372
136	-105.70299499826109
137	-105.19109471729578
138	-106.58276396858685
139	-105.68321633114812
140	-105.07978141468013
141	-104.8514117317939
142	-104.25038590036567
143	-104.58094978459584
144	-104.31842649581955
145	-103.63870282715581
146	-104.15699890667233
147	-105.38414575801852
148	-105.48717256497548
149	-106.30765256312212
150	-108.08958164987145
151	-109.21202416258589
152	-110.76978141762825
153	-110.76911219794458
154	-112.43416067866507
155	-114.66500586902767
156	-117.09676062769613
157	-118.50972615507416
158	-119.99425268464516
159	-122.41272567701942
160	-123.8324250868105
161	-124.6103643810418
162	-128.09219322813223
163	-131.39722054615328
164	-131.6532754416128
165	-131.43071107787335
166	-132.8388076435146
167	-133.17611276320696
168	-133.67423693572292
169	-134.32840271621347
170	-135.84283547233096
171	-136.8323635217985
172	-137.19426986342717
173	-138.24133447064435
174	-138.81104007803984
175	-140.0594480025277
176	-141.06030275641294
177	-142.12833789362244
178	-144.33568636871962
179	-145.64292364094487
180	-146.0407186822799
181	-145.9431722423011
182	-146.97612039107307
183	-148.47394256139728
184	-149.69482671772775
185	-150.34883150618865
186	-149.14316708977037
187	-149.4339626334109
188	-150.14693967893083
189	-151.09503870908858
190	-151.85096076690502
191	-153.07133056425863
192	-154.95585302960455
193	-155.91405979453492
194	-157.92561991806028
195	-159.04902696760428
196	-160.3933602262384
197	-161.81289700034915
198	-163.0187143414906
199	-164.04824882490936
200	-165.35974382823068
201	-167.4235747411082
202	-168.63222355226205
203	-169.5613631007609
204	-168.5557246783446
205	-169.71531179189424
206	-168.33529962777965
207	-169.16328700713473
208	-170.10210985194382
209	-172.38160123520464
210	-173.37403018118172
211	-170.68015375426944
212	-171.78078641825974
213	-173.15387683197258
214	-171.75162500000351
215	-172.04092997861196
216	-172.99300421605506
217	-173.92340823756294
218	-174.8049726046781
219	-175.83559079544636
220	-177.15174306786722
221	-178.2685485204334
222	-178.74069387548326
223	-179.70152004478098
224	-178.28310389976937
225	-177.5497347631902
226	-177.78425669891513
227	-178.33086246931794
228	-177.3705597745628
229	-176.50414764710595
230	-177.14375766212223
231	-175.5722907130446
232	-176.66145662734917
233	-177.19104848279486
234	-175.92522526403536
235	-175.99201073326276
236	-177.25156667898608
237	-179.35962594406647
238	-182.15464142692952
239	-183.8299097620832
240	-186.95142482211767
241	-189.45641293200174
242	-192.2461422146562
243	-194.5251219382321
244	-197.72793426726562
245	-197.97365726852456
246	-199.4912055126155
247	-200.9919316335972
248	-202.0304408000136
249	-202.7426156374965
250	-202.22090723379173
251	-201.09557291401484
252	-200.90574868822506
253	-203.85042274790783
254	-201.55961919472702
255	-203.61951115612362
256	-201.77664500450135
257	-199.16487213308298
258	-197.35741441195086
259	-197.59620294853028
260	-197.95851928505363
261	-195.40796290920002
262	-192.90709740597813
263	-190.2702903539902
264	-190.34190492023882
265	-187.93375255891914
266	-186.49315779539936
267	-184.51116059299918
268	-184.74042108121267
269	-182.33752047433532
270	-180.67317140543702
271	-178.10881679815284
272	-175.50843289109173
273	-173.5536074945141
274	-173.8386082314665
275	-171.81360816687254
276	-171.4475941032028
277	-169.14439218461422
278	-167.36668330019447
279	-165.94717968749188
280	-163.07645247397954
281	-161.11750128058745
282	-159.50095738968992
283	-157.74865103140658
284	-156.02286439771453
285	-155.46682489587567
286	-153.45172412184056
287	-152.47346583299122
288	-150.14820443684835
289	-148.47494877185815
290	-146.71458972407797
291	-144.19825992154713
292	-142.43365966351502
293	-141.24491618645982
294	-138.86017625565626
295	-137.40949104846348
296	-134.2558993515871
297	-133.27970288707937
298	-131.87960965688796
299	-131.37913341431084
300	-132.27509101814252
301	-129.912022121207
302	-128.76571996230615
303	-126.73237903171218
304	-124.48629466025334
305	-123.33538256623154
306	-124.69121146773495
307	-123.40659351013582
308	-122.34767462320684
309	-119.67378044517281
310	-118.51435006147864
311	-120.16649091822525
312	-118.54933782937191
313	-117.12629725762373
314	-118.3085646055387
315	-117.94488541708162
316	-116.94269127057818
317	-115.64055322455906
318	-116.7574994064587
319	-114.46863872642345
320	-115.23215586440148
321	-113.04665895397474
322	-112.40381563625847
323	-110.33464519245118
324	-110.65649169919627
325	-111.15645884580995
326	-111.26104044201655
327	-112.0834218547921
328	-112.95295712042655
329	-113.0018846082028
330	-112.8647681440959
331	-114.2858097043028
332	-113.38727704255597
333	-112.89263263669051
334	-114.98543812827533
335	-113.74164843977998
336	-112.62498528488487
337	-109.55151108429
338	-105.42102700954865
339	-104.25353168536066
340	-102.88973731198266
341	-102.39835915434183
342	-98.21054313352826
343	-95.58016547245228
344	-93.48779304990454
345	-92.95604200339656
346	-92.12199508559598
347	-89.49193306031938
348	-87.06919449124241
349	-85.05918468416687
350	-83.73446466819053
351	-83.29632218037801
352	-82.32797852689131
353	-76.5708994160595
354	-78.11136751138058
355	-74.08010042381491
356	-73.86653742985965
357	-74.34925682247909
358	-73.91911408313807
359	-70.30515701117243
360	-67.99389362944113
361	-67.84529007492864
362	-67.17445180533954
363	-69.7253173380546
364	-68.06311766577984
365	-67.70920516267606
366	-67.88334426950695
367	-68.05639003198144
368	-65.44987577669558
369	-66.57195726264501
370	-66.68215207991669
371	-67.49831736365692
372	-68.52274871377395
373	-68.85211735154935
374	-66.91555535718965
375	-67.20171032337866
376	-66.06001803952377
377	-66.55851508306915
378	-67.28382559117915
379	-67.45792674181253
380	-69.43230183794715
381	-71.17733273068121
382	-71.90921198906288
383	-71.99180668118244
384	-71.3698589662546
385	-70.69228485213551
386	-73.38588539172665
387	-73.57594472787729
388	-75.20475020943454
389	-77.9077244955176
390	-79.67046332940359
391	-80.75686624856388
392	-80.38754678322644
393	-81.06459554073773
394	-82.71274051480103
395	-82.85158836235709
396	-84.72009430839738
397	-83.29904018474892
398	-83.37909628596975
399	-82.8299015125341
400	-82.42393865489305
401	-83.18904929516735
402	-83.82834648726322
403	-85.31590619404746
404	-89.40194062264203
405	-90.1468844910448
406	-90.5547922127091
407	-91.32402404439317
408	-92.3699198270367
409	-93.24215268311187
410	-95.32510205611221
411	-96.34061640953418
412	-96.77823387602828
413	-96.9529179896609
414	-95.90555925411962
415	-96.29455609003513
416	-96.864448058356
417	-96.761501956441
418	-95.2975759091372
419	-96.94422847815704
420	-95.37686977623305
421	-97.23960150063061
422	-97.78566914543059
423	-97.82774945313473
424	-99.53648373279684
425	-98.43429607524585
426	-98.79421746898497
427	-97.26107005182277
428	-97.17303977616666
429	-96.85830513172044
430	-96.04345057811433
431	-95.75295569239674
432	-95.53325919825755
433	-95.42233387452025
434	-94.45164800698446
435	-95.03872663458337
436	-94.15040896878554
437	-94.5635793938911
438	-94.46996681871983
439	-93.72011900115066
440	-92.42639258954621
441	-90.76131658704902
442	-93.6283649531594
443	-94.34744205096855
444	-96.14866301485152
445	-96.12334666208453
446	-95.87028708149234
447	-95.48698707923658
448	-94.97279272246162
449	-95.83488670106699
450	-96.41159113513748
451	-98.20462318135658
452	-98.30897732255426
453	-101.03345118586742
454	-101.04599822687764
455	-101.70454247905577
456	-102.93113835852188
457	-101.55344372531155
458	-102.250320842968
459	-105.74577615268313
460	-106.3330993422115
461	-107.94966858956482
462	-108.70360568870048
463	-106.79172698135535
464	-107.51151599674402
465	-109.21399611041436
466	-110.07539353367552
467	-111.11337690771688
468	-112.57754617409077
469	-112.01367509209706
470	-112.9146082295551
471	-113.38698995262314
472	-112.41307652549938
473	-111.510801959563
474	-110.22700467948619
475	-109.99302203043204
476	-111.19936125652957
477	-112.83713827728552
478	-113.12328248035881
479	-113.95524425526344
480	-113.87718030267084
481	-113.39395539902989
482	-112.06065384681416
483	-113.17090701421134
484	-114.61714635181363
485	-115.41528458502023
486	-113.17206315033798
487	-112.53890267801374
488	-112.11545385735884
489	-108.86111694459541
490	-108.79370251566102
491	-108.7389272902998
492	-108.64127764761608
493	-108.0624678212189
494	-106.22604170616958
495	-106.11487178251251
496	-108.05793200627208
497	-109.72277541627898
498	-110.54026578233183
499	-112.44071981111024
500	-110.86067730238672
501	-110.84138870656169
502	-110.00437291440807
503	-110.23332290772015
504	-110.92579973136264
505	-110.41172532369782
506	-110.10379600345993
507	-110.75674984018691
508	-111.49527630879908
509	-110.70644004213987
510	-108.80052715890018
511	-109.84832067527861
512	-111.04367057598327
513	-112.24690088817391
514	-114.28367766706809
515	-113.7439616133386
516	-113.28398577350909
517	-114.60537101003013
518	-114.51009843505537
519	-114.02047030471526
520	-114.30541149621784
521	-113.52895555130094
522	-113.45510225466118
523	-114.54069060840433
524	-113.80718297669979
525	-115.00776698770501
526	-114.41527917652078
527	-114.87782541785809
528	-114.96269062193258
529	-116.28731398243346
530	-117.40457592612456
531	-116.97971691651817
532	-117.23297801076234
533	-117.99141943859587
534	-117.39936210790289
535	-117.98938205731208
536	-118.88616997866697
537	-119.47451977648416
538	-119.98758991287191
539	-119.03931462464553
540	-117.79865058153192
541	-117.72716109639514
542	-115.23840981355586
543	-115.66218320308757
544	-115.30972760073921
545	-114.74564458096239
546	-112.98506014082109
547	-113.443647155627
548	-113.90536514653586
549	-113.82171826704143
550	-115.05323962905379
551	-114.31336862431874
552	-114.9799317145356
553	-113.34585453154217
554	-112.45970291004663
555	-111.84481826749219
556	-110.28319213751276
557	-112.39824818807072
558	-112.95434803253629
559	-111.68134758091179
560	-111.4988998412795
561	-109.68353872183987
562	-110.91073839428599
563	-111.9505751368034
564	-111.38792739447722
565	-110.7050749949451
566	-108.3566197576319
567	-108.51227413603483
568	-109.88212946567734
569	-112.41287639143033
570	-112.32420195506718
571	-111.9799233560128
572	-113.39004342555452
573	-115.2329109814463
574	-117.32608411324104
575	-118.59199471727443
576	-118.19252799628592
577	-117.734842264357
578	-115.87538176185014
579	-116.17851937514926
580	-117.82616983916562
581	-118.87920442689017
582	-120.33176689178934
583	-121.10727122186061
584	-119.85968899597452
585	-119.83161688382226
586	-119.94639877107763
587	-119.84487591249062
588	-119.78335045642378
589	-120.95904339366226
590	-120.39887893008732
591	-120.83247586747162
592	-120.97721700356468
593	-120.95723976066141
594	-121.09918297277518
595	-121.26998418250794
596	-120.06561056413358
597	-118.26518368368727
598	-118.05598724725631
599	-115.93992894050533
600	-116.90598212619597
601	-115.13153265921827
602	-115.35283221871134
603	-114.34198994931134
604	-112.70829882222654
605	-112.54472981930314
606	-113.60182301316235
607	-114.70870612709312
608	-112.93585764830306
609	-112.82823382296334
610	-112.65648287799097
611	-111.78465258669154
612	-111.05872860681035
613	-109.92475647017709
614	-109.20927802112105
615	-108.24172748316231
616	-109.42403689408835
617	-107.22052439262065
618	-106.73298226081982
619	-107.15725051144877
620	-106.59091336573178
621	-106.99211385081873
622	-106.59951721154904
623	-105.94111307505892
624	-105.68774381459865
625	-105.76108557200955
626	-105.75356192564749
627	-104.48308273561372
628	-105.28857652626317
629	-106.0621100492903
630	-106.17106015889445
631	-106.9291768540904
632	-106.83608861363388
633	-105.01986801046705
634	-105.60603631986157
635	-105.37499215840887
636	-107.21397148666784
637	-106.87468883029892
638	-107.56986173485765
639	-108.6685116128101
640	-111.43956299169182
641	-109.84714682335601
642	-110.80626716736585
643	-109.69448747781668
644	-107.30685964786606
645	-109.36926050196165
646	-111.42058389039104
647	-110.48604457761896
648	-111.17940467530232
649	-109.40842892869412
650	-108.37263012890767
651	-108.78606023470502
652	-109.28169493871421
653	-109.88938121663378
654	-111.78848127778903
655	-111.50920201071443
656	-112.05624239548314
657	-110.3462789963885
658	-111.19153144479188
659	-110.88195868902564
660	-110.2260839009017
661	-111.13963856601725
662	-110.27145571384582
663	-110.6183965819592
664	-109.48603153797933
665	-110.79621549628722
666	-112.40076577379097
667	-112.7188794247624
668	-111.95355581792995
669	-110.86140074495084
670	-110.6595126889967
671	-111.00522566944409
672	-110.71858767479046
673	-110.06605749208411
674	-110.56757550822398
675	-108.13565008390046
676	-107.80721263029046
677	-108.03641501144773
678	-111.22422114181965
679	-110.99422667439012
680	-109.43796670154151
681	-107.22304412655569
682	-106.47444258709272
683	-104.7589780989955
684	-105.34834143077504
685	-104.0384459709549
686	-105.30269120572568
687	-106.12320646802802
688	-107.4825518443643
