Episode	Reward
1	-87.86819029976976
2	-80.30131318284009
3	-128.37470649252586
4	-114.44364535706559
5	-143.59191441576993
6	-140.97916576959832
7	-139.67730616540868
8	-131.2775546033946
9	-127.22910125300336
10	-140.33925368931045
11	-134.15351904726523
12	-127.50062981621996
13	-117.05131224867182
14	-114.62180025520627
15	-112.17286587278129
16	-111.63596484667906
17	-108.83648237946967
18	-106.66591598308034
19	-104.62992925385527
20	-108.7233915779282
21	-116.22495805110954
22	-114.47749299304222
23	-112.53127910916211
24	-119.85452154208441
25	-120.53276780922234
26	-116.0260662005396
27	-113.84389058354436
28	-112.36738574454613
29	-110.48316735117511
30	-109.45714959138485
31	-108.12418435119102
32	-108.58141516810343
33	-108.8744953113666
34	-107.15597835917785
35	-110.34154205568258
36	-108.73555939523827
37	-111.9066890160254
38	-116.76817586206415
39	-118.16320571414235
40	-116.88560118605896
41	-116.03228755004012
42	-114.62479875764157
43	-115.37026902838578
44	-114.93729955074576
45	-117.83519004698687
46	-116.87219288471204
47	-116.53554851509284
48	-115.81208406569992
49	-117.25165469493912
50	-116.72841241281256
51	-119.47344489192977
52	-118.35541109763201
53	-118.86661344256326
54	-122.5948168959713
55	-121.40848159750139
56	-119.29126576448195
57	-118.1155321850401
58	-116.46868780511447
59	-115.89037377453091
60	-114.01085806766072
61	-115.96128216026683
62	-117.46570142529679
63	-118.86374948159789
64	-119.39400442754211
65	-120.43514435113677
66	-126.18895772784347
67	-125.26408227061788
68	-124.47824108031602
69	-123.75143799190047
70	-122.35662741655922
71	-121.23695085034193
72	-120.7554344066875
73	-121.19680146165102
74	-120.69298452784638
75	-122.89296276964627
76	-122.20896002965786
77	-121.68251012868089
78	-119.90867476410504
79	-119.43789989015595
80	-117.82528815375035
81	-117.27273417428844
82	-116.02168564177451
83	-116.33797781558921
84	-115.3738077920115
85	-114.94590100760769
86	-114.61003790900209
87	-114.86258895565648
88	-114.9429511301727
89	-114.7053061161352
90	-114.30117792196977
91	-113.64910854010235
92	-112.91801870680438
93	-112.35939049239305
94	-111.8718385202571
95	-111.51979764506436
96	-110.8283518169505
97	-110.085876615433
98	-109.67424097507721
99	-109.15889892040862
100	-108.3813872682535
101	-107.89590038553841
102	-107.78453753332178
103	-106.25743512424195
104	-106.03167102492756
105	-103.97803136274746
106	-102.71638615479162
107	-101.73720797586562
108	-101.58455481473615
109	-101.17315479606151
110	-98.93129416224754
111	-98.24175522415477
112	-98.07295583902261
113	-98.88342418175
114	-98.53411755978453
115	-98.03456425419161
116	-97.15431109610236
117	-96.99186260172593
118	-96.77542236279346
119	-96.24568572734164
120	-94.19226675081865
121	-92.64196101641113
122	-92.16888620912825
123	-91.17291360013445
124	-91.27594140930135
125	-91.99597305673701
126	-91.66724790988982
127	-91.33944381319205
128	-90.21966027784578
129	-89.87378838065511
130	-88.87335118465023
131	-87.91649759038772
132	-86.1415783464335
133	-85.64128566878333
134	-85.03987940679814
135	-82.72134583917004
136	-82.72662201201793
137	-80.97608831072071
138	-78.36532289304087
139	-77.02283193778591
140	-76.58463856975374
141	-76.34672235498034
142	-78.69042954767335
143	-80.4194357776535
144	-79.8020703967522
145	-77.52072689933618
146	-77.06101959038007
147	-76.09299985722137
148	-75.23238987067366
149	-76.23081412088902
150	-76.39179121979161
151	-78.48034280274932
152	-80.19631016618284
153	-78.66787204210429
154	-80.12357154980496
155	-80.68336943081343
156	-81.0397796993227
157	-83.35938389395754
158	-88.01784380249704
159	-87.51039919373221
160	-87.6121154999839
161	-90.53653401306634
162	-88.56252361317568
163	-92.16480173997934
164	-91.21026814026864
165	-89.59998790231549
166	-84.87177413384416
167	-84.76196555543406
168	-86.52448902625696
169	-87.49801458275964
170	-92.89392307473885
171	-92.98486736005775
172	-97.06306245448337
173	-101.01710532833523
174	-105.14386967274876
175	-102.79975342772052
176	-101.87017713036369
177	-101.20415263526009
178	-105.43655206983038
179	-108.11469434940538
180	-112.52519934762228
181	-112.18097341680068
182	-113.85391594481553
183	-112.8460716775069
184	-116.99068610446363
185	-116.22773386203745
186	-115.77833628335375
187	-118.73036380005138
188	-117.85986945417537
189	-118.21205564181965
190	-119.14928594642099
191	-119.21950813440338
192	-120.6820147040146
193	-120.12036580315201
194	-119.8909158149603
195	-119.3569632972545
196	-121.46122336389797
197	-121.41020282545
198	-120.88106213741962
199	-120.19298609127355
200	-118.55132518297005
201	-118.38446780283428
202	-118.23024172736572
203	-117.95216639652082
204	-117.62731551306166
205	-117.48699588778683
206	-117.98710757263788
207	-117.66444627949112
208	-117.51733217198027
209	-117.31051933738723
210	-117.33832094845435
211	-115.96628995890782
212	-115.7047665724441
213	-115.44965710316619
214	-115.60406441580939
215	-114.90818470247355
216	-115.22519784792115
217	-114.8305970913368
218	-114.6788317846504
219	-114.99850284387193
220	-115.39375635709308
221	-114.58050934184647
222	-114.56409814109254
223	-114.7564249957751
224	-112.08837864867004
225	-110.21252982751413
226	-110.71989822556077
227	-110.64536072690639
228	-111.08681623557621
229	-110.67139418257347
230	-111.19149132065135
231	-111.40561419722904
232	-112.56687355096358
233	-112.40479188905846
234	-112.47102666126654
235	-112.68236644757113
236	-112.34062945383151
237	-111.75112455748148
238	-111.46401292834848
239	-112.12721976872541
240	-112.09708782912374
241	-112.92968075264844
242	-109.59103307672173
243	-106.28833221308106
244	-106.86665130500737
245	-106.33020283135224
246	-105.61211428724185
247	-105.39841229597458
248	-105.61804216600572
249	-102.5944588804185
250	-101.26183551724495
251	-96.3829589675024
252	-94.09825564939456
253	-94.1541110371397
254	-90.21668359569261
255	-89.35917797510928
256	-89.0345080208377
257	-86.61527919012173
258	-82.72406998909135
259	-82.69762888539258
260	-83.90117626353914
261	-78.82484215558662
262	-79.02737847446423
263	-74.8501334917581
264	-74.90910762101316
265	-75.06199119498936
266	-74.87461262430855
267	-74.70856683834077
268	-72.58229290386238
269	-71.13980143384572
270	-65.77115182552271
271	-65.08163796384567
272	-60.17313626972978
273	-54.83454239430038
274	-49.87219402646168
275	-49.55273271903859
276	-49.983839566572485
277	-49.119882681249095
278	-45.05580390798212
279	-41.29505162460234
280	-36.370926608731985
281	-36.07541498535648
282	-34.48258368487247
283	-34.162616661262014
284	-29.037606337385014
285	-29.128456437551332
286	-28.664419378614266
287	-23.600729849976936
288	-23.95635140250543
289	-22.77849999130422
290	-20.367642022815716
291	-19.018206871016233
292	-17.108806475132912
293	-16.15447527792274
294	-15.732833153245064
295	-15.79647354195663
296	-13.174249468623692
297	-12.149586060392881
298	-9.549832372306524
299	-8.633975658361308
300	-9.171897897773711
301	-9.009933658188622
302	-7.501327719807278
303	-6.5912521324100375
304	-6.480017477409357
305	-5.59130802746565
306	-5.031658807583258
307	-4.913376734658229
308	-3.874220122006853
309	-3.3271345639770336
310	-2.8889904424425525
311	-3.996226031904367
312	-4.581172108043282
313	-4.856774861870417
314	-4.4496798824732675
315	-5.0355230508618325
316	-4.718534183758463
317	-4.651729327200683
318	-4.195685788276688
319	-4.030492760501916
320	-5.46969744885848
321	-5.114079446212676
322	-4.765257772624863
323	-4.832648755188127
324	-4.5607213245577904
325	-4.433306989542396
326	-3.8940062546298306
327	-3.1067545479661693
328	-2.958032528096263
329	-3.2760270109345946
330	-3.3724606172357325
331	-3.644818767384804
332	-3.0420411365815156
333	-2.6105996774524316
334	-4.813255222765116
335	-4.651244005788002
336	-3.7142330265519803
337	-3.516448971003914
338	-3.3564819085915407
339	-2.1756645304907205
340	-2.0062023294543447
341	0.18495234053988532
342	0.46467301370327335
343	1.3543175753644845
344	2.4066886727790227
345	2.928861479859122
346	4.230800825400191
347	3.215736110392955
348	4.835452327991017
349	6.057943295772208
350	5.991280157083334
351	6.829989714268591
352	8.171023129794879
353	7.583313526588781
354	7.7595061140264985
355	9.315546801767635
356	9.544844441205157
357	9.736725989764594
358	11.721435446590462
359	11.520810472938578
360	9.651936452678889
361	7.657520320739717
362	9.259405584657712
363	12.552463080539075
364	13.357489658561803
365	13.798797217370286
366	16.044545593279416
367	16.24741046304193
368	16.404697867938747
369	18.71033225485589
370	18.882076618449076
371	18.777996668739956
372	18.668503187605037
373	18.640756367752637
374	20.108662302206984
375	20.130571501048927
376	19.8426967355257
377	19.750400963976926
378	20.294031038690804
379	20.710271340487676
380	20.606841408217107
381	20.810330668251687
382	21.262324309347818
383	21.626288959946415
384	21.560233241638013
385	24.173487108209255
386	18.55584534052509
387	17.958396347435144
388	19.33893634986315
389	20.26414974764972
390	21.912439522045535
391	21.92136711602066
392	23.647105195272182
393	22.989362211144993
394	23.723063755240446
395	24.111568671515734
396	24.64606427505812
397	26.67573031185013
398	24.865643152124633
399	24.008362633662177
400	24.942724396287094
401	25.26344385683698
402	24.34418522899106
403	24.015001593484627
404	24.183001613000748
405	25.485566913973997
406	26.137566960768172
407	26.950451448588655
408	29.13861576823352
409	30.484379975820794
410	31.129663788814486
411	30.95347496507366
412	32.150156453161586
413	35.35236784265969
414	37.50212530999802
415	39.737562822313805
416	40.02985971011725
417	40.153945508351896
418	40.28959385802054
419	43.29293850884654
420	45.469645654229346
421	47.42726183645731
422	47.58428339077028
423	47.70357889770467
424	50.575210182612274
425	50.90104473996653
426	50.646161490566016
427	50.142114176638714
428	50.11662121548048
429	50.39296125599551
430	50.87126905157587
431	51.162873433286606
432	51.243807075296
433	51.454362909175956
434	55.60667707339523
435	57.52394714193867
436	59.05866642702003
437	60.66095348871431
438	62.23620027037113
439	62.61778963387392
440	64.7228484024122
441	66.47274375029232
442	68.00352601839718
443	68.90408135409426
444	71.29698597326905
445	72.4892038933635
446	72.93890347963237
447	75.8769556074799
448	76.91546997990166
449	77.99216063673146
450	80.45294341307476
451	81.93377174944318
452	82.94068179265119
453	85.90163361462015
454	88.64894273835534
455	89.76234729874417
456	91.73304099191782
457	94.01931077705012
458	94.94546925220729
459	97.43308810103704
460	102.76208584618031
461	103.41838010654777
462	104.20122505634924
463	101.3989335850539
464	103.54925469814788
465	105.518872453438
466	105.79291854815425
467	108.50697696006678
468	110.87841158954494
469	110.98667912973362
470	113.30510829815154
471	115.89702263091478
472	118.55671856937612
473	121.54567358890091
474	122.41177962479397
475	124.93221513148967
476	125.15982009727244
477	126.42038753616555
478	128.45285605378245
479	130.013575874773
480	131.48072481185523
481	133.40570166523398
482	135.40972183105893
483	137.33907891674397
484	139.04951990244706
485	137.44464032259881
486	145.17630306065683
487	147.2115215324726
488	144.63371424147778
489	145.90161250252567
490	145.68049809668855
491	147.0186845939366
492	144.96067180534385
493	146.82907314142264
494	148.38207605323373
495	150.2899803249618
496	151.63573377241667
497	151.3429041465912
498	153.10847824362054
499	155.38621593918603
500	155.9379569700191
501	155.82163690214048
502	158.4453560495783
503	161.2033173110396
504	163.79211447303965
505	164.64666636096248
506	164.27763406243247
507	165.85534278031236
508	165.46389838648432
509	166.44294966913094
510	168.2463917820392
511	168.3649425081102
512	170.30948288368876
513	170.38495643198397
514	170.88909711862885
515	171.29690507399607
516	173.59611621276792
517	176.02773710091276
518	178.1181623106038
519	177.85947995209474
520	179.84845759512064
521	180.3968523987254
522	182.77618545902874
523	185.24089012397872
524	184.90759187163283
525	186.9912288588216
526	189.15423561680538
527	191.44606427920635
528	193.38891792682037
529	195.41064600375742
530	197.61201492468987
531	199.37071485267347
